
Host: QUADRAXIS

Timers On : Tue Apr 13 15:41:17 2021
Timers Off: Tue Apr 13 15:46:54 2021

Wall Time:      336.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| Libint2ERI::Libint2ERI            :     12.050u      1.383s      3.735w    130 calls
HF: Form core H                     :     16.183u      1.167s      1.015w      5 calls
HF: Form S/X                        :      1.017u      0.050s      0.057w      5 calls
HF: Guess                           :      1.033u      0.033s      0.057w      5 calls
HF: Form G                          :      8.850u      0.417s      0.489w     58 calls
| JK: D                             :      0.067u      0.000s      0.002w     58 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     58 calls
| JK: JK                            :      7.817u      0.367s      0.436w     58 calls
| | PK computes JK                  :      7.817u      0.367s      0.436w     58 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     58 calls
HF: Form F                          :      3.900u      0.217s      0.208w     58 calls
HF: DIIS                            :     11.267u      0.667s      0.625w     58 calls
| DIISManager::add_entry            :      1.400u      0.067s      0.083w     58 calls
| DIISManager::extrapolate          :      1.167u      0.033s      0.070w     58 calls
| | bMatrix setup                   :      0.817u      0.033s      0.051w     58 calls
| | bMatrix pseudoinverse           :      0.133u      0.000s      0.008w     58 calls
| | New vector                      :      0.217u      0.000s      0.010w     58 calls
HF: Form C                          :      7.217u      0.533s      0.396w     58 calls
HF: Form D                          :      0.033u      0.017s      0.004w     58 calls
Libint2ERI::Libint2ERI              :     14.233u      1.117s      1.997w     60 calls
CIWave: CIvect write                :      0.800u      0.150s      0.121w    270 calls
CIWave: CIvect read                 :      1.550u      0.367s      0.235w   1345 calls
CIWave: s2                          :    332.033u      0.733s    186.290w    385 calls
CIWave: s3                          :    156.367u      1.250s     74.531w    630 calls
| CIWave: s3_mt                     :     92.750u      0.700s     44.716w  29960 calls
CIWave: s1                          :      0.200u      0.000s      0.027w    315 calls
CIWave: opdm                        :      5.217u      0.217s      0.760w      5 calls
| CIWave: CIvect read               :      0.017u      0.000s      0.002w     10 calls
JK: D                               :      0.000u      0.000s      0.000w      5 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      5 calls
JK: JK                              :      0.017u      0.000s      0.022w      5 calls
| PK computes JK                    :      0.017u      0.000s      0.022w      5 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      5 calls
V: Grid                             :      1.417u      0.067s      0.082w      5 calls

**************************************************************************************

Host: QUADRAXIS

Timers On : Tue Apr 13 15:55:02 2021
Timers Off: Tue Apr 13 16:00:22 2021

Wall Time:      319.59 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     83.483u      4.583s      9.843w     10 calls
Libint2ERI::Libint2ERI              :     22.900u      2.117s      6.655w    190 calls
HF: Form core H                     :     15.700u      1.450s      1.020w      5 calls
HF: Form S/X                        :      2.117u      0.167s      0.122w      5 calls
HF: Guess                           :      1.150u      0.117s      0.065w      5 calls
HF: Form G                          :      9.250u      0.700s      0.515w     58 calls
JK: D                               :      0.033u      0.000s      0.003w     63 calls
JK: USO2AO                          :      0.017u      0.000s      0.001w     63 calls
JK: JK                              :      8.883u      0.733s      0.496w     63 calls
PK computes JK                      :      8.850u      0.733s      0.496w     63 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     63 calls
HF: Form F                          :      5.533u      0.517s      0.297w     58 calls
HF: DIIS                            :     17.717u      1.350s      0.992w     58 calls
DIISManager::add_entry              :      1.417u      0.100s      0.088w     58 calls
DIISManager::extrapolate            :      1.333u      0.083s      0.065w     58 calls
bMatrix setup                       :      0.917u      0.033s      0.046w     58 calls
bMatrix pseudoinverse               :      0.067u      0.033s      0.008w     58 calls
New vector                          :      0.250u      0.017s      0.010w     58 calls
HF: Form C                          :     14.500u      1.150s      0.805w     58 calls
HF: Form D                          :      0.033u      0.000s      0.002w     58 calls
CIWave: CIvect write                :      0.817u      0.133s      0.126w    270 calls
CIWave: CIvect read                 :      2.000u      0.367s      0.245w   1355 calls
CIWave: s2                          :    328.283u      0.817s    183.591w    385 calls
CIWave: s3                          :    150.183u      1.350s     73.836w    630 calls
CIWave: s3_mt                       :     93.667u      0.783s     45.599w  29960 calls
CIWave: s1                          :      0.300u      0.000s      0.027w    315 calls
CIWave: opdm                        :      5.867u      0.200s      1.081w      5 calls
V: Grid                             :      1.483u      0.100s      0.084w      3 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     83.483u      4.583s      9.843w     10 calls
| Libint2ERI::Libint2ERI            :     11.483u      1.200s      4.570w    130 calls
HF: Form core H                     :     15.700u      1.450s      1.020w      5 calls
HF: Form S/X                        :      2.117u      0.167s      0.122w      5 calls
HF: Guess                           :      1.150u      0.117s      0.065w      5 calls
HF: Form G                          :      9.250u      0.700s      0.515w     58 calls
| JK: D                             :      0.017u      0.000s      0.002w     58 calls
| JK: USO2AO                        :      0.017u      0.000s      0.001w     58 calls
| JK: JK                            :      8.217u      0.683s      0.458w     58 calls
| | PK computes JK                  :      8.183u      0.683s      0.458w     58 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     58 calls
HF: Form F                          :      5.533u      0.517s      0.297w     58 calls
HF: DIIS                            :     17.717u      1.350s      0.992w     58 calls
| DIISManager::add_entry            :      1.417u      0.100s      0.088w     58 calls
| DIISManager::extrapolate          :      1.333u      0.083s      0.065w     58 calls
| | bMatrix setup                   :      0.917u      0.033s      0.046w     58 calls
| | bMatrix pseudoinverse           :      0.067u      0.033s      0.008w     58 calls
| | New vector                      :      0.250u      0.017s      0.010w     58 calls
HF: Form C                          :     14.500u      1.150s      0.805w     58 calls
HF: Form D                          :      0.033u      0.000s      0.002w     58 calls
Libint2ERI::Libint2ERI              :     11.417u      0.917s      2.085w     60 calls
CIWave: CIvect write                :      0.817u      0.133s      0.126w    270 calls
CIWave: CIvect read                 :      1.967u      0.367s      0.243w   1345 calls
CIWave: s2                          :    328.283u      0.817s    183.591w    385 calls
CIWave: s3                          :    150.183u      1.350s     73.836w    630 calls
| CIWave: s3_mt                     :     93.667u      0.783s     45.599w  29960 calls
CIWave: s1                          :      0.300u      0.000s      0.027w    315 calls
CIWave: opdm                        :      5.867u      0.200s      1.081w      5 calls
| CIWave: CIvect read               :      0.033u      0.000s      0.002w     10 calls
JK: D                               :      0.017u      0.000s      0.001w      5 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      5 calls
JK: JK                              :      0.667u      0.050s      0.038w      5 calls
| PK computes JK                    :      0.667u      0.050s      0.038w      5 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      5 calls
V: Grid                             :      1.483u      0.100s      0.084w      3 calls

**************************************************************************************

Host: QUADRAXIS

Timers On : Tue Apr 13 16:02:53 2021
Timers Off: Tue Apr 13 16:02:59 2021

Wall Time:        6.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      2.167u      0.183s      0.284w      2 calls
Libint2ERI::Libint2ERI              :      3.067u      0.250s      0.314w     38 calls
HF: Form core H                     :      1.750u      0.100s      0.096w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.001w      1 calls
HF: Guess                           :      0.133u      0.000s      0.007w      1 calls
HF: Form G                          :      0.067u      0.017s      0.006w     11 calls
JK: D                               :      0.000u      0.017s      0.000w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :      0.050u      0.000s      0.005w     12 calls
PK computes JK                      :      0.050u      0.000s      0.005w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.500u      0.050s      0.025w     11 calls
HF: DIIS                            :      1.633u      0.050s      0.090w     11 calls
DIISManager::add_entry              :      0.100u      0.000s      0.005w     11 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.003w     11 calls
bMatrix setup                       :      0.017u      0.000s      0.001w     11 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     11 calls
New vector                          :      0.000u      0.000s      0.001w     11 calls
HF: Form C                          :      0.067u      0.000s      0.003w     11 calls
HF: Form D                          :      0.017u      0.000s      0.002w     11 calls
CIWave: CIvect write                :      0.033u      0.000s      0.005w     54 calls
CIWave: CIvect read                 :      0.067u      0.017s      0.010w    271 calls
CIWave: s2                          :      6.383u      0.267s      1.091w     77 calls
CIWave: s3                          :      6.750u      0.133s      0.746w    126 calls
CIWave: s3_mt                       :      3.367u      0.100s      0.411w   2800 calls
CIWave: s1                          :      0.017u      0.000s      0.001w     63 calls
CIWave: opdm                        :      0.183u      0.000s      0.018w      1 calls
V: Grid                             :      0.350u      0.017s      0.021w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      2.167u      0.183s      0.284w      2 calls
| Libint2ERI::Libint2ERI            :      0.933u      0.117s      0.197w     26 calls
HF: Form core H                     :      1.750u      0.100s      0.096w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.001w      1 calls
HF: Guess                           :      0.133u      0.000s      0.007w      1 calls
HF: Form G                          :      0.067u      0.017s      0.006w     11 calls
| JK: D                             :      0.000u      0.017s      0.000w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      0.050u      0.000s      0.005w     11 calls
| | PK computes JK                  :      0.050u      0.000s      0.005w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.500u      0.050s      0.025w     11 calls
HF: DIIS                            :      1.633u      0.050s      0.090w     11 calls
| DIISManager::add_entry            :      0.100u      0.000s      0.005w     11 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.003w     11 calls
| | bMatrix setup                   :      0.017u      0.000s      0.001w     11 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     11 calls
| | New vector                      :      0.000u      0.000s      0.001w     11 calls
HF: Form C                          :      0.067u      0.000s      0.003w     11 calls
HF: Form D                          :      0.017u      0.000s      0.002w     11 calls
Libint2ERI::Libint2ERI              :      2.133u      0.133s      0.116w     12 calls
CIWave: CIvect write                :      0.033u      0.000s      0.005w     54 calls
CIWave: CIvect read                 :      0.067u      0.017s      0.010w    269 calls
CIWave: s2                          :      6.383u      0.267s      1.091w     77 calls
CIWave: s3                          :      6.750u      0.133s      0.746w    126 calls
| CIWave: s3_mt                     :      3.367u      0.100s      0.411w   2800 calls
CIWave: s1                          :      0.017u      0.000s      0.001w     63 calls
CIWave: opdm                        :      0.183u      0.000s      0.018w      1 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.000w      2 calls
JK: D                               :      0.000u      0.000s      0.000w      1 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      1 calls
JK: JK                              :      0.000u      0.000s      0.000w      1 calls
| PK computes JK                    :      0.000u      0.000s      0.000w      1 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      1 calls
V: Grid                             :      0.350u      0.017s      0.021w      1 calls

**************************************************************************************

Host: QUADRAXIS

Timers On : Tue Apr 13 16:04:06 2021
Timers Off: Tue Apr 13 16:04:13 2021

Wall Time:        6.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      2.300u      0.117s      0.297w      2 calls
Libint2ERI::Libint2ERI              :      2.967u      0.350s      0.329w     38 calls
HF: Form core H                     :      2.600u      0.200s      0.152w      1 calls
HF: Form S/X                        :      0.083u      0.017s      0.005w      1 calls
HF: Guess                           :      0.083u      0.017s      0.005w      1 calls
HF: Form G                          :      0.183u      0.000s      0.009w     11 calls
JK: D                               :      0.033u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w     12 calls
JK: JK                              :      0.083u      0.000s      0.003w     12 calls
PK computes JK                      :      0.083u      0.000s      0.003w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.533u      0.050s      0.027w     11 calls
HF: DIIS                            :      2.717u      0.233s      0.158w     11 calls
DIISManager::add_entry              :      0.967u      0.100s      0.058w     11 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.003w     11 calls
bMatrix setup                       :      0.017u      0.000s      0.001w     11 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     11 calls
New vector                          :      0.000u      0.000s      0.001w     11 calls
HF: Form C                          :      0.167u      0.017s      0.007w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
CIWave: CIvect write                :      0.000u      0.000s      0.005w     54 calls
CIWave: CIvect read                 :      0.067u      0.000s      0.009w    271 calls
CIWave: s2                          :      6.933u      0.133s      0.925w     77 calls
CIWave: s3                          :      5.733u      0.183s      0.641w    126 calls
CIWave: s3_mt                       :      2.833u      0.083s      0.337w   2800 calls
CIWave: s1                          :      0.000u      0.000s      0.001w     63 calls
CIWave: opdm                        :      0.150u      0.000s      0.016w      1 calls
V: Grid                             :      0.517u      0.033s      0.029w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      2.300u      0.117s      0.297w      2 calls
| Libint2ERI::Libint2ERI            :      0.950u      0.117s      0.211w     26 calls
HF: Form core H                     :      2.600u      0.200s      0.152w      1 calls
HF: Form S/X                        :      0.083u      0.017s      0.005w      1 calls
HF: Guess                           :      0.083u      0.017s      0.005w      1 calls
HF: Form G                          :      0.183u      0.000s      0.009w     11 calls
| JK: D                             :      0.033u      0.000s      0.002w     11 calls
| JK: USO2AO                        :      0.017u      0.000s      0.000w     11 calls
| JK: JK                            :      0.083u      0.000s      0.003w     11 calls
| | PK computes JK                  :      0.083u      0.000s      0.003w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.533u      0.050s      0.027w     11 calls
HF: DIIS                            :      2.717u      0.233s      0.158w     11 calls
| DIISManager::add_entry            :      0.967u      0.100s      0.058w     11 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.003w     11 calls
| | bMatrix setup                   :      0.017u      0.000s      0.001w     11 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     11 calls
| | New vector                      :      0.000u      0.000s      0.001w     11 calls
HF: Form C                          :      0.167u      0.017s      0.007w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
Libint2ERI::Libint2ERI              :      2.017u      0.233s      0.119w     12 calls
CIWave: CIvect write                :      0.000u      0.000s      0.005w     54 calls
CIWave: CIvect read                 :      0.067u      0.000s      0.009w    269 calls
CIWave: s2                          :      6.933u      0.133s      0.925w     77 calls
CIWave: s3                          :      5.733u      0.183s      0.641w    126 calls
| CIWave: s3_mt                     :      2.833u      0.083s      0.337w   2800 calls
CIWave: s1                          :      0.000u      0.000s      0.001w     63 calls
CIWave: opdm                        :      0.150u      0.000s      0.016w      1 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.000w      2 calls
JK: D                               :      0.000u      0.000s      0.000w      1 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      1 calls
JK: JK                              :      0.000u      0.000s      0.000w      1 calls
